commodity,mom_side_label,risk_state,horizon,n_state_obs,n_end_within_h,p_end_within_h,p_survive_beyond_h,hist_n_episodes,hist_n_ended,hist_end_risk_rate,hist_duration_reliability,survival_sample_reliability
LH,DOWN,NO_RISK,2,235,50,0.2127659574468085,0.7872340425531915,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,NO_RISK,3,235,68,0.28936170212765955,0.7106382978723405,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,NO_RISK,5,235,99,0.42127659574468085,0.5787234042553191,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,NO_RISK,10,235,145,0.6170212765957447,0.3829787234042553,33,33,0.30303030303030304,MEDIUM,HIGH
LH,DOWN,NO_RISK,20,235,194,0.825531914893617,0.174468085106383,33,33,0.30303030303030304,MEDIUM,HIGH
LH,UP,NO_RISK,1,112,21,0.1875,0.8125,24,24,0.25,MEDIUM,HIGH
LH,UP,NO_RISK,2,112,37,0.33035714285714285,0.6696428571428572,24,24,0.25,MEDIUM,HIGH
LH,UP,NO_RISK,3,112,50,0.44642857142857145,0.5535714285714286,24,24,0.25,MEDIUM,HIGH
LH,UP,NO_RISK,5,112,69,0.6160714285714286,0.3839285714285714,24,24,0.25,MEDIUM,HIGH
LH,UP,NO_RISK,10,112,97,0.8660714285714286,0.1339285714285714,24,24,0.25,MEDIUM,HIGH
LH,UP,NO_RISK,20,112,112,1.0,0.0,24,24,0.25,MEDIUM,HIGH
M,UP,NO_RISK,1,255,128,0.5019607843137255,0.4980392156862745,161,160,0.4161490683229814,HIGH,HIGH
M,UP,NO_RISK,2,254,192,0.7559055118110236,0.2440944881889764,161,160,0.4161490683229814,HIGH,HIGH
M,UP,NO_RISK,3,254,212,0.8346456692913385,0.16535433070866146,161,160,0.4161490683229814,HIGH,HIGH
M,UP,NO_RISK,5,254,243,0.9566929133858267,0.04330708661417326,161,160,0.4161490683229814,HIGH,HIGH
M,UP,NO_RISK,10,254,254,1.0,0.0,161,160,0.4161490683229814,HIGH,HIGH
M,UP,NO_RISK,20,254,254,1.0,0.0,161,160,0.4161490683229814,HIGH,HIGH
M,UP,RISK,1,126,32,0.25396825396825395,0.746031746031746,161,160,0.4161490683229814,HIGH,HIGH
M,UP,RISK,2,126,76,0.6031746031746031,0.39682539682539686,161,160,0.4161490683229814,HIGH,HIGH
M,UP,RISK,3,126,103,0.8174603174603174,0.18253968253968256,161,160,0.4161490683229814,HIGH,HIGH
M,UP,RISK,5,126,118,0.9365079365079365,0.06349206349206349,161,160,0.4161490683229814,HIGH,HIGH
M,UP,RISK,10,126,126,1.0,0.0,161,160,0.4161490683229814,HIGH,HIGH
M,UP,RISK,20,126,126,1.0,0.0,161,160,0.4161490683229814,HIGH,HIGH
M,DOWN,NO_RISK,1,233,124,0.5321888412017167,0.4678111587982833,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,NO_RISK,2,233,178,0.7639484978540773,0.23605150214592274,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,NO_RISK,3,233,201,0.8626609442060086,0.13733905579399142,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,NO_RISK,5,233,223,0.9570815450643777,0.0429184549356223,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,NO_RISK,10,233,233,1.0,0.0,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,NO_RISK,20,233,233,1.0,0.0,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,RISK,1,99,24,0.24242424242424243,0.7575757575757576,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,RISK,2,99,62,0.6262626262626263,0.3737373737373737,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,RISK,3,99,82,0.8282828282828283,0.1717171717171717,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,RISK,5,99,95,0.9595959595959596,0.04040404040404044,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,RISK,10,99,99,1.0,0.0,148,148,0.3918918918918919,HIGH,HIGH
M,DOWN,RISK,20,99,99,1.0,0.0,148,148,0.3918918918918919,HIGH,HIGH
SA,UP,NO_RISK,1,59,36,0.6101694915254238,0.38983050847457623,52,52,0.4423076923076923,HIGH,HIGH
SA,UP,NO_RISK,2,59,46,0.7796610169491526,0.22033898305084743,52,52,0.4423076923076923,HIGH,HIGH
SA,UP,NO_RISK,3,59,54,0.9152542372881356,0.0847457627118644,52,52,0.4423076923076923,HIGH,HIGH
SA,UP,NO_RISK,5,59,59,1.0,0.0,52,52,0.4423076923076923,HIGH,HIGH
SA,UP,NO_RISK,10,59,59,1.0,0.0,52,52,0.4423076923076923,HIGH,HIGH
