trading_day,datetime,symbol,tq_symbol,exchange,product,sector,contract_id,open,high,low,close,volume,open_oi,close_oi,amount,data_source,contract_mode,duration_seconds,fetch_time
2025-05-12,1.7469792e+18,V,KQ.m@DCE.v,DCE,v,chemical,2268.0,4812.0,4845.0,4755.0,4836.0,1145985.0,1077435.0,1064312.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-13,1.7470656e+18,V,KQ.m@DCE.v,DCE,v,chemical,2269.0,4884.0,4886.0,4815.0,4837.0,948143.0,1064312.0,1082509.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-14,1.747152e+18,V,KQ.m@DCE.v,DCE,v,chemical,2270.0,4844.0,4995.0,4827.0,4986.0,1532605.0,1082509.0,988857.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-15,1.7472384e+18,V,KQ.m@DCE.v,DCE,v,chemical,2271.0,4980.0,5057.0,4977.0,5041.0,1750324.0,988857.0,940225.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-16,1.7473248e+18,V,KQ.m@DCE.v,DCE,v,chemical,2272.0,5034.0,5039.0,4931.0,4947.0,1251401.0,940225.0,933962.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-19,1.747584e+18,V,KQ.m@DCE.v,DCE,v,chemical,2273.0,4952.0,5013.0,4943.0,4959.0,1056935.0,933962.0,943934.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-20,1.7476704e+18,V,KQ.m@DCE.v,DCE,v,chemical,2274.0,4954.0,4975.0,4935.0,4949.0,692097.0,943934.0,943039.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-21,1.7477568e+18,V,KQ.m@DCE.v,DCE,v,chemical,2275.0,4941.0,4976.0,4921.0,4969.0,861605.0,943039.0,941714.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-22,1.7478432e+18,V,KQ.m@DCE.v,DCE,v,chemical,2276.0,4969.0,4980.0,4914.0,4926.0,867050.0,941714.0,953880.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-23,1.7479296e+18,V,KQ.m@DCE.v,DCE,v,chemical,2277.0,4935.0,4937.0,4851.0,4854.0,850443.0,953880.0,981783.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-26,1.7481888e+18,V,KQ.m@DCE.v,DCE,v,chemical,2278.0,4849.0,4893.0,4846.0,4865.0,664122.0,981783.0,967288.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-27,1.7482752e+18,V,KQ.m@DCE.v,DCE,v,chemical,2279.0,4862.0,4865.0,4775.0,4793.0,839870.0,967288.0,1018526.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-28,1.7483616e+18,V,KQ.m@DCE.v,DCE,v,chemical,2280.0,4794.0,4798.0,4743.0,4758.0,718586.0,1018526.0,1043359.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-29,1.748448e+18,V,KQ.m@DCE.v,DCE,v,chemical,2281.0,4759.0,4771.0,4700.0,4744.0,1245345.0,1043359.0,1068785.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-05-30,1.7485344e+18,V,KQ.m@DCE.v,DCE,v,chemical,2282.0,4734.0,4806.0,4715.0,4764.0,1129093.0,1068785.0,1010148.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-03,1.74888e+18,V,KQ.m@DCE.v,DCE,v,chemical,2283.0,4772.0,4780.0,4718.0,4745.0,609137.0,1010148.0,1020928.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-04,1.7489664e+18,V,KQ.m@DCE.v,DCE,v,chemical,2284.0,4736.0,4849.0,4731.0,4834.0,1300611.0,1020928.0,986723.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-05,1.7490528e+18,V,KQ.m@DCE.v,DCE,v,chemical,2285.0,4810.0,4817.0,4714.0,4747.0,1323419.0,986723.0,1059668.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-06,1.7491392e+18,V,KQ.m@DCE.v,DCE,v,chemical,2286.0,4754.0,4814.0,4750.0,4790.0,1103319.0,1059668.0,1003710.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-09,1.7493984e+18,V,KQ.m@DCE.v,DCE,v,chemical,2287.0,4791.0,4827.0,4781.0,4816.0,920324.0,1003710.0,991396.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-10,1.7494848e+18,V,KQ.m@DCE.v,DCE,v,chemical,2288.0,4812.0,4830.0,4769.0,4810.0,1022295.0,991396.0,970124.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-11,1.7495712e+18,V,KQ.m@DCE.v,DCE,v,chemical,2289.0,4803.0,4855.0,4795.0,4832.0,880034.0,970124.0,960922.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-12,1.7496576e+18,V,KQ.m@DCE.v,DCE,v,chemical,2290.0,4840.0,4844.0,4816.0,4826.0,747513.0,960922.0,941475.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-13,1.749744e+18,V,KQ.m@DCE.v,DCE,v,chemical,2291.0,4816.0,4890.0,4786.0,4859.0,1374788.0,941475.0,958720.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-16,1.7500032e+18,V,KQ.m@DCE.v,DCE,v,chemical,2292.0,4850.0,4866.0,4792.0,4860.0,1194646.0,958720.0,978942.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-17,1.7500896e+18,V,KQ.m@DCE.v,DCE,v,chemical,2293.0,4830.0,4855.0,4822.0,4833.0,834032.0,978942.0,962017.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-18,1.750176e+18,V,KQ.m@DCE.v,DCE,v,chemical,2294.0,4835.0,4907.0,4824.0,4899.0,1073727.0,962017.0,970630.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-19,1.7502624e+18,V,KQ.m@DCE.v,DCE,v,chemical,2295.0,4896.0,4927.0,4864.0,4900.0,988818.0,970630.0,966087.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-20,1.7503488e+18,V,KQ.m@DCE.v,DCE,v,chemical,2296.0,4899.0,4938.0,4886.0,4903.0,1056077.0,966087.0,953030.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-23,1.750608e+18,V,KQ.m@DCE.v,DCE,v,chemical,2297.0,4900.0,4945.0,4881.0,4896.0,992189.0,953030.0,969157.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-24,1.7506944e+18,V,KQ.m@DCE.v,DCE,v,chemical,2298.0,4883.0,4897.0,4802.0,4844.0,1190057.0,969157.0,934961.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-25,1.7507808e+18,V,KQ.m@DCE.v,DCE,v,chemical,2299.0,4840.0,4872.0,4832.0,4871.0,729041.0,934961.0,922719.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-26,1.7508672e+18,V,KQ.m@DCE.v,DCE,v,chemical,2300.0,4862.0,4881.0,4843.0,4872.0,782071.0,922719.0,918451.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-27,1.7509536e+18,V,KQ.m@DCE.v,DCE,v,chemical,2301.0,4872.0,4943.0,4867.0,4919.0,1058434.0,918451.0,933850.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-06-30,1.7512128e+18,V,KQ.m@DCE.v,DCE,v,chemical,2302.0,4920.0,4956.0,4885.0,4889.0,792725.0,933850.0,926073.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-07-01,1.7512992e+18,V,KQ.m@DCE.v,DCE,v,chemical,2303.0,4884.0,4888.0,4807.0,4821.0,977340.0,926073.0,982274.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-07-02,1.7513856e+18,V,KQ.m@DCE.v,DCE,v,chemical,2304.0,4825.0,4932.0,4819.0,4930.0,1119421.0,982274.0,930079.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
2025-07-03,1.751472e+18,V,KQ.m@DCE.v,DCE,v,chemical,2305.0,4934.0,4940.0,4879.0,4914.0,943497.0,930079.0,944269.0,,TQSDK,MAIN_CONTINUOUS,86400,2026-06-19 07:10:32
