strategy_id,strategy_family,lookback,version,IS_avg_n_symbols,OOS_avg_n_symbols,PSEUDO_LIVE_avg_n_symbols,IS_avg_turnover_daily,OOS_avg_turnover_daily,PSEUDO_LIVE_avg_turnover_daily,IS_hit_rate,OOS_hit_rate,PSEUDO_LIVE_hit_rate,IS_max_drawdown,OOS_max_drawdown,PSEUDO_LIVE_max_drawdown,IS_mean_ann,OOS_mean_ann,PSEUDO_LIVE_mean_ann,IS_mean_daily,OOS_mean_daily,PSEUDO_LIVE_mean_daily,IS_n_obs,OOS_n_obs,PSEUDO_LIVE_n_obs,IS_sharpe,OOS_sharpe,PSEUDO_LIVE_sharpe,IS_t_stat,OOS_t_stat,PSEUDO_LIVE_t_stat,IS_vol_ann,OOS_vol_ann,PSEUDO_LIVE_vol_ann,OOS_decay_ann,PSEUDO_LIVE_decay_ann,OOS_retention_ratio,PSEUDO_LIVE_retention_ratio,OOS_sharpe_retention,PSEUDO_LIVE_sharpe_retention,decay_flag
TSMOM_120_long_short,TSMOM,120,long_short,20.631963470319636,23.015151515151516,26.895446880269816,0.08336753049081816,0.07964707259443154,0.09776077023969097,0.4922374429223744,0.512396694214876,0.5295109612141653,-0.33352238141646606,-0.26709795219635757,-0.10720347306374811,-0.03102089797069489,0.00725289169652798,-0.01707207347151285,-0.00012309880147101147,2.8781316256063415e-05,-6.774632329965416e-05,1095,726,593,-0.32724347983961466,0.06289408540645845,-0.20825278052168777,-0.6821467139933541,0.10675244878120303,-0.31946102808271387,0.09479454865196565,0.11531913771629783,0.08197764960806819,0.03827378966722287,0.013948824499182041,,,,,NO_POSITIVE_IS_EDGE
MA_120_long_short,MA,120,long_short,20.633211678832115,23.019283746556475,26.898819561551434,0.09955327519196132,0.09100085475669378,0.11223159078133782,0.4844890510948905,0.509641873278237,0.47892074198988194,-0.34929667763459193,-0.20829799217515477,-0.16516463879770393,-0.043548310774658046,0.006147580506242511,-0.062241855329236324,-0.00017281075704229384,2.4395160739057585e-05,-0.00024699148940173144,1096,726,593,-0.45336327170510793,0.049081008087764603,-0.7022643668967016,-0.9454778096658006,0.08330700364204466,-1.0772777970727394,0.09605610664241065,0.12525375386034585,0.08863023422971379,0.04969589128090056,-0.01869354455457828,,,,,NO_POSITIVE_IS_EDGE
REVERSAL_5_long_short,REVERSAL,5,long_short,20.76198347107438,23.71900826446281,27.0,0.40991628206504244,0.4008864305579481,0.40322278433576914,0.4727272727272727,0.46831955922865015,0.4468802698145025,-0.3201300812232324,-0.3185580369288181,-0.26458408612716267,-0.053270151560903624,-0.10749071529424586,-0.0908044118780488,-0.00021138949032104614,-0.00042655045751684867,-0.0003603349677700349,1210,726,593,-0.606725820733147,-1.0145995536490708,-1.038348591066617,-1.3294894414306047,-1.722117209979043,-1.5928330348311193,0.08779938110518154,0.10594398046761284,0.08745079702450628,-0.05422056373334224,-0.03753426031714518,,,,,NO_POSITIVE_IS_EDGE
REVERSAL_10_long_short,REVERSAL,10,long_short,20.756846473029047,23.68457300275482,27.0,0.2857724847766342,0.28044320197841577,0.27918306164511897,0.45726141078838173,0.46143250688705234,0.49409780775716694,-0.38887290249585016,-0.22381424246972947,-0.14409927591278748,-0.09505805381077181,-0.07134656934542107,-0.010127790076873562,-0.0003772144992490945,-0.00028312130692627406,-4.0189643162196675e-05,1205,726,593,-1.0830854262017848,-0.6190489136514257,-0.10939796640940584,-2.3684049775892277,-1.0507345328348963,-0.16781714381800253,0.08776597995979495,0.11525190945669751,0.09257749855213755,0.02371148446535075,0.08493026373389825,,,,,NO_POSITIVE_IS_EDGE
REVERSAL_3_long_short,REVERSAL,3,long_short,20.764026402640265,23.732782369146005,27.0,0.5418106096323918,0.5313758503089562,0.5312597589157454,0.45544554455445546,0.46831955922865015,0.4300168634064081,-0.45031173463082275,-0.32933863435674504,-0.2397951065376721,-0.11237725102171812,-0.10918955887178834,-0.10550290205798733,-0.00044594147230840527,-0.00043329190028487436,-0.000418662309753918,1212,726,593,-1.2981632210588883,-1.0113443525731325,-1.239280402334048,-2.846953280426111,-1.7165920372400505,-1.901063651686343,0.08656634943798056,0.10796476847275677,0.08513238961843038,0.0031876921499297828,0.006874348963730792,,,,,NO_POSITIVE_IS_EDGE
BREAKOUT_20_long_flat,BREAKOUT,20,long_flat,20.74644351464435,23.615702479338843,27.0,0.022041333840497022,0.02301110664088266,0.02298419836362501,0.5447698744769874,0.5413223140495868,0.521079258010118,-0.1219951989155178,-0.11770044798011248,-0.09622466252549333,0.08934618247965417,0.049307987643273925,0.03549040529354111,0.0003545483431732309,0.0001956666176320394,0.00014083494164103614,1195,726,593,1.01262419403595,0.4913269145935356,0.40542576537160213,2.205118748579262,0.833947277331533,0.6219255824214311,0.0882323205448538,0.10035678115469286,0.08753860342598498,-0.04003819483638025,-0.05385577718611306,0.5518757072189658,0.39722352213115486,0.4852016350066515,0.4003713991423839,PARTIAL_DECAY
MA_60_long_flat,MA,60,long_flat,20.70415224913495,23.34710743801653,27.0,0.061708346440180355,0.06287004293621852,0.06789082505777277,0.5337370242214533,0.5206611570247934,0.5177065767284992,-0.14736249631779486,-0.10912613381367187,-0.11546823826214603,0.06365869298803341,0.040075297427675155,0.028191991999262613,0.00025261386106362465,0.00015902895804632998,0.00011187298412405799,1156,726,593,0.709977783796374,0.3813064222080911,0.32635086123798007,1.5206294804381817,0.6472054413964508,0.5006242000015304,0.08966293656068978,0.10509998020910538,0.08638552964842516,-0.023583395560358253,-0.03546670098877079,0.6295337768748807,0.44286162150018,0.5370681039752817,0.4596634834021504,PARTIAL_DECAY
BREAKOUT_20_long_short,BREAKOUT,20,long_short,20.6756077116513,23.524793388429753,27.0,0.044100145134850936,0.046135039319552436,0.04596839672725002,0.5046102263202011,0.5454545454545454,0.521079258010118,-0.12530708974917326,-0.13254040665711808,-0.13666440613272612,0.05978264188499916,0.04268447535506008,0.03385435602727623,0.0002372327058928538,0.00016938283871055585,0.00013434268264792156,1193,726,593,0.6400062194334837,0.3662979755264116,0.3448766313597668,1.3925286714010676,0.6217310517886343,0.5290428437012897,0.093409470204707,0.11652937828476301,0.09816367056763611,-0.017098166529939084,-0.02592828585772293,0.7139944640982919,0.5662907318883655,0.5723350248856155,0.5388644998872704,PARTIAL_DECAY
TSMOM_120_long_flat,TSMOM,120,long_flat,20.631963470319636,23.015151515151516,26.895446880269816,0.04214137460712803,0.03979244474932581,0.04881672696175226,0.5205479452054794,0.5247933884297521,0.5261382799325464,-0.217162974267601,-0.19149754670223917,-0.07018624797299189,0.02828453261239213,0.04013683223725656,0.010748125370827815,0.00011224020877933385,0.00015927314379863715,4.265129115407863e-05,1095,726,593,0.31526402771790357,0.3606938128406994,0.15502485797805132,0.6571752648929139,0.612218899951117,0.23780907214771826,0.0897169677655104,0.11127674168057607,0.06933162533423867,0.011852299624864428,-0.017536407241564314,1.4190381996862713,0.3800001052914272,1.1441007572340163,0.4917302462327439,PARTIAL_DECAY
BREAKOUT_120_long_flat,BREAKOUT,120,long_flat,20.631963470319636,23.015151515151516,26.895446880269816,0.005111585522544427,0.003923079156640062,0.0033944932089957384,0.5159817351598174,0.5179063360881543,0.5480607082630692,-0.19997380272394671,-0.16675258118663083,-0.07472275587940858,0.02147510196505323,0.0571579415602061,0.033384787196959705,8.521865859148108e-05,0.00022681722841351627,0.00013247931427364963,1095,726,593,0.26135863142072974,0.5200713765062907,0.49046159662892247,0.5448082011743375,0.8827363117574872,0.7523710631937885,0.08216718096630624,0.10990403268139626,0.06806809631258091,0.035682839595152865,0.011909685231906473,2.6615911604620135,1.5545810795817077,1.9898764149445307,1.8765846529070145,ROBUST
