hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,sensitivity_axis,bandwidth_multiplier,p,grid_size,weight_scale,sensitivity_label,status,sensitivity_reject_share,sensitivity_conclusion,symbol,best_model_name
2536,10.500431389683634,10,10,15,1.0,9.53181515634285,9.53181515634285,9.151980812477984,9.76211365151156,0.03890902702265229,0.48448145974851897,9.151980812477982,3.426090711899256,0.11086523265296337,0.45586160796124964,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,bandwidth_multiplier,0.5,10.500431389683634,15,1.0,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
2536,21.000862779367267,21,21,15,1.0,15.860087605915574,15.860087605915574,19.74894248927616,15.726799981034047,-0.2472756624393014,0.5976525536990003,19.74894248927616,5.170176458341225,-0.7521706298992101,0.7740257732445495,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,bandwidth_multiplier,1.0,21.000862779367267,15,1.0,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
2536,31.5012941690509,31,31,15,1.0,22.9542246986761,22.9542246986761,30.361962142133752,21.40158944245126,-0.3461302471658477,0.6353775835999984,30.361962142133756,6.465238236201331,-1.14577950151611,0.8740568005754457,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,bandwidth_multiplier,1.5,31.5012941690509,15,1.0,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
2536,42.001725558734535,42,42,15,1.0,33.31181111085936,33.31181111085936,40.97899332731955,26.92932720518377,-0.28471495622751,0.6120687343592185,40.97899332731954,7.542340598989649,-1.0165521055210975,0.8453167259167658,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,bandwidth_multiplier,2.0,42.001725558734535,15,1.0,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
2536,21.000862779367267,21,21,8,1.0,16.680771329205353,16.680771329205353,20.1881826267547,16.17158920136663,-0.2168872368618504,0.5858518878103,20.188182626754696,5.216705793423089,-0.6723421707950786,0.7493170555931569,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,weight_grid_size,1.0,21.000862779367267,8,1.0,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
2536,21.000862779367267,21,21,15,1.0,15.860087605915574,15.860087605915574,19.74894248927616,15.726799981034047,-0.2472756624393014,0.5976525536990003,19.74894248927616,5.170176458341225,-0.7521706298992101,0.7740257732445495,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,weight_grid_size,1.0,21.000862779367267,15,1.0,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
2536,21.000862779367267,21,21,21,1.0,15.749392157071918,15.749392157071918,19.767171514114924,15.734257159788063,-0.25535233829222126,0.6007745103612411,19.767171514114917,5.154673258678796,-0.7794440414391663,0.7821409055397424,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,weight_grid_size,1.0,21.000862779367267,21,1.0,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
2536,21.000862779367267,21,21,15,0.75,12.19149851449639,12.19149851449639,14.589670972673488,12.466350214094206,-0.19237165786228058,0.5762744542450405,14.589670972673488,4.121588993562187,-0.581856284535644,0.7196682558415126,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,weight_scale,1.0,21.000862779367267,15,0.75,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
2536,21.000862779367267,21,21,15,1.0,15.860087605915574,15.860087605915574,19.74894248927616,15.726799981034047,-0.2472756624393014,0.5976525536990003,19.74894248927616,5.170176458341225,-0.7521706298992101,0.7740257732445495,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,weight_scale,1.0,21.000862779367267,15,1.0,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
2536,21.000862779367267,21,21,15,1.25,20.02249508876518,20.02249508876518,23.878982062189213,18.04508451973486,-0.2137139878290078,0.5846149486804166,23.87898206218921,5.9041678726593085,-0.6531804407666717,0.7431800209029558,FAIL_TO_REJECT,0.009722452997410327,1.011109948150357,True,1.190775483825089e-17,1.0,weight_scale,1.0,21.000862779367267,15,1.25,CU:19_AR1_EGARCH11_t,ok,0.0,stable_fail_to_reject,CU,19_AR1_EGARCH11_t
