symbol,family,spec_name,rep,nobs,bandwidth_p,status,convergence_flag,M_robust,pvalue,decision,reject_5pct,mc_family_status
AL,GARCH,03_GARCH11_t,53,2537,21.00362278239279,ok,0,-0.29377384895832503,0.6155346403538667,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,54,2537,21.00362278239279,ok,0,0.06872582931061239,0.47260392899593784,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,55,2537,21.00362278239279,ok,0,0.5969281652603722,0.27527767093815525,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,56,2537,21.00362278239279,ok,0,0.12750918995338717,0.449268700011317,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,57,2537,21.00362278239279,ok,0,0.4634872698085055,0.32150756880204345,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,58,2537,21.00362278239279,ok,0,-1.2557793408089615,0.8954020080779477,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,59,2537,21.00362278239279,ok,0,0.518700443939489,0.30198482603394405,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,60,2537,21.00362278239279,ok,0,-0.043815324678474536,0.5174741942557177,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,61,2537,21.00362278239279,ok,0,-0.038820767415014605,0.5154833563446888,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,62,2537,21.00362278239279,ok,0,-0.9596203459404563,0.8313768373274537,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,63,2537,21.00362278239279,ok,0,-0.6210052520437785,0.7327019162243208,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,64,2537,21.00362278239279,ok,0,-0.06684360201835685,0.5266468941914753,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,65,2537,21.00362278239279,ok,0,-0.39690301973893777,0.6542805113512402,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,66,2537,21.00362278239279,ok,0,-0.021041772195933454,0.5083938331753816,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,67,2537,21.00362278239279,ok,0,0.7914087327947104,0.21435275781272145,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,68,2537,21.00362278239279,ok,0,-0.40608959260982,0.6576616137938096,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,69,2537,21.00362278239279,ok,0,0.396944786605263,0.3457040882942721,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,70,2537,21.00362278239279,ok,0,1.3280291755981897,0.09208423437864788,FAIL_TO_REJECT,False,representative_fit
