hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,symbol,best_model_name,sample_size,bandwidth_multiplier,base_bandwidth_p
2537,42.00724556478558,42,42,15,1.0,30.63913829810886,30.63913829810886,31.207793973958506,13.832154205326813,-0.04111114345664633,0.5163963545392909,31.207793973958495,5.665632167949179,-0.10036932490368031,0.5399744390278582,FAIL_TO_REJECT,0.0004971283889549299,0.9774499449697346,True,5.601440565708318e-18,1.0,OI,08_EGARCH11_t,2537,2.0,21.00362278239279
2537,10.501811391196394,10,10,15,1.0,9.273902526838981,9.273902526838981,5.66595341164879,2.794958566788237,1.2908774956675597,0.09837308003652767,5.66595341164879,2.1445976337424315,1.6823431390689998,0.046251160249058065,FAIL_TO_REJECT,0.00768312605397581,1.0085461147373243,True,-2.1005402121406193e-18,1.0,P,09_EGARCH11_skewt,2537,0.5,21.00362278239279
2537,21.00362278239279,21,21,15,1.0,15.825594733258976,15.825594733258976,12.226352407808527,5.231148420651728,0.6880405670084264,0.24571361772135036,12.226352407808523,3.236296413828728,1.1121485380853413,0.1330371450971204,FAIL_TO_REJECT,0.00768312605397581,1.0085461147373243,True,-2.1005402121406193e-18,1.0,P,09_EGARCH11_skewt,2537,1.0,21.00362278239279
2537,31.505434173589183,31,31,15,1.0,23.159769333519012,23.159769333519012,18.796696487322965,7.456002323340111,0.5851758968124214,0.2792147250332102,18.796696487322972,4.046934865032607,1.0781178822261293,0.14049057614618,FAIL_TO_REJECT,0.00768312605397581,1.0085461147373243,True,-2.1005402121406193e-18,1.0,P,09_EGARCH11_skewt,2537,1.5,21.00362278239279
2537,42.00724556478558,42,42,15,1.0,30.77196942231061,30.77196942231061,25.36951919499512,9.593998982782908,0.5631072336999993,0.2866809330235853,25.369519194995114,4.721143681009977,1.1443096402776227,0.12624762335555872,FAIL_TO_REJECT,0.00768312605397581,1.0085461147373243,True,-2.1005402121406193e-18,1.0,P,09_EGARCH11_skewt,2537,2.0,21.00362278239279
2536,10.500431389683634,10,10,15,1.0,7.455883326665997,7.455883326665997,6.132259108088099,3.1247688094752353,0.4235910876235942,0.3359320280870366,6.132259108088098,2.2930196382206396,0.5772406814644722,0.2818884394804163,FAIL_TO_REJECT,-0.010612385143930632,0.9992423833182624,True,-3.082007134606113e-17,1.0000000000000002,RB,19_AR1_EGARCH11_t,2536,0.5,21.000862779367267
2536,21.000862779367267,21,21,15,1.0,14.9053009417642,14.9053009417642,13.232723596825517,5.960605519190765,0.2806052740033966,0.3895065852162255,13.232723596825519,3.460304221037527,0.4833613572962611,0.31441959048215473,FAIL_TO_REJECT,-0.010612385143930632,0.9992423833182624,True,-3.082007134606113e-17,1.0000000000000002,RB,19_AR1_EGARCH11_t,2536,1.0,21.000862779367267
2536,31.5012941690509,31,31,15,1.0,20.862638683901892,20.862638683901892,20.34394768744208,8.648839562265582,0.05997232261340982,0.4760888391776186,20.343947687442082,4.3270653021228425,0.11987131236622248,0.4522925449980767,FAIL_TO_REJECT,-0.010612385143930632,0.9992423833182624,True,-3.082007134606113e-17,1.0000000000000002,RB,19_AR1_EGARCH11_t,2536,1.5,21.000862779367267
2536,42.001725558734535,42,42,15,1.0,27.00141161406389,27.00141161406389,27.457859694058573,11.153106975583553,-0.04092564349951468,0.5163224129933,27.45785969405858,5.047950146668691,-0.09042246193653777,0.5360242461192241,FAIL_TO_REJECT,-0.010612385143930632,0.9992423833182624,True,-3.082007134606113e-17,1.0000000000000002,RB,19_AR1_EGARCH11_t,2536,2.0,21.000862779367267
2537,10.501811391196394,10,10,15,1.0,21.714439690639022,21.714439690639022,18.607273543556367,19.439270553341412,0.15983964720057692,0.4365036958128887,18.607273543556367,6.892960302932592,0.4507738345396707,0.3260762806694949,FAIL_TO_REJECT,0.011600264605130514,0.9956530962045382,True,2.800720282854159e-18,0.9999999999999998,RU,08_EGARCH11_t,2537,0.5,21.00362278239279
2537,21.00362278239279,21,21,15,1.0,47.2304085789804,47.2304085789804,40.15195098927051,33.58642767623616,0.21075351204195508,0.41653980785515654,40.15195098927051,10.401793958019306,0.6805035379741131,0.24809284119840114,FAIL_TO_REJECT,0.011600264605130514,0.9956530962045382,True,2.800720282854159e-18,0.9999999999999998,RU,08_EGARCH11_t,2537,1.0,21.00362278239279
2537,31.505434173589183,31,31,15,1.0,70.35874539246083,70.35874539246083,61.72928858464527,46.985245227138705,0.18366312160548617,0.42713887069750867,61.72928858464528,13.007270424216967,0.6634333358480198,0.25352653084123467,FAIL_TO_REJECT,0.011600264605130514,0.9956530962045382,True,2.800720282854159e-18,0.9999999999999998,RU,08_EGARCH11_t,2537,1.5,21.00362278239279
2537,42.00724556478558,42,42,15,1.0,92.43318896492688,92.43318896492688,83.31476611848977,60.813424763707864,0.14994095270685676,0.4404056006695892,83.31476611848976,15.174247824219703,0.6009143222165623,0.27394852669093994,FAIL_TO_REJECT,0.011600264605130514,0.9956530962045382,True,2.800720282854159e-18,0.9999999999999998,RU,08_EGARCH11_t,2537,2.0,21.00362278239279
2536,10.500431389683634,10,10,15,1.0,9.55438494321887,9.55438494321887,9.338071465713728,4.887758722172516,0.04425616929982077,0.4823501046249241,9.338071465713726,3.425280187064102,0.06315205346472759,0.47482271215707117,FAIL_TO_REJECT,0.02301488789485187,0.9478532327170377,True,2.801824667823739e-18,1.0,SN,19_AR1_EGARCH11_t,2536,0.5,21.000862779367267
2536,21.000862779367267,21,21,15,1.0,19.600217952870963,19.600217952870963,20.150505132800703,9.564758830098842,-0.05753278150600822,0.5229396032597515,20.150505132800703,5.168953327731442,-0.10646007906038694,0.5423913361743772,FAIL_TO_REJECT,0.02301488789485187,0.9478532327170377,True,2.801824667823739e-18,1.0,SN,19_AR1_EGARCH11_t,2536,1.0,21.000862779367267
2536,31.5012941690509,31,31,15,1.0,29.650134733385542,29.650134733385542,30.979323288787953,14.268833950632967,-0.09315327096811912,0.5371091013674691,30.979323288787953,6.463708727324805,-0.20563868383848635,0.5814634210398837,FAIL_TO_REJECT,0.02301488789485187,0.9478532327170377,True,2.801824667823739e-18,1.0,SN,19_AR1_EGARCH11_t,2536,1.5,21.000862779367267
2536,42.001725558734535,42,42,15,1.0,40.49366486525341,40.49366486525341,41.81223454509254,19.226058564103557,-0.06858242293618069,0.5273389948078552,41.81223454509253,7.540556275431187,-0.17486371451603855,0.5694066387270988,FAIL_TO_REJECT,0.02301488789485187,0.9478532327170377,True,2.801824667823739e-18,1.0,SN,19_AR1_EGARCH11_t,2536,2.0,21.000862779367267
2537,10.501811391196394,10,10,15,1.0,4.732160306148683,4.732160306148683,6.73445065594437,3.02094600907298,-0.6628024280414458,0.7462714508077599,6.734450655944368,2.489841986044944,-0.8041837036318424,0.7893545555200798,FAIL_TO_REJECT,-0.006867668102587019,0.980661208771996,True,-1.4003601414270795e-18,1.0,SR,08_EGARCH11_t,2537,0.5,21.00362278239279
2537,21.00362278239279,21,21,15,1.0,10.607030905666303,10.607030905666303,14.532023299607907,5.982721775406575,-0.6560546422326097,0.7441055164965942,14.532023299607905,3.7572860119108054,-1.0446349789446847,0.851904146687787,FAIL_TO_REJECT,-0.006867668102587019,0.980661208771996,True,-1.4003601414270795e-18,1.0,SR,08_EGARCH11_t,2537,1.0,21.00362278239279
2537,31.505434173589183,31,31,15,1.0,15.45931262051518,15.45931262051518,22.34141649106908,8.888595939130528,-0.7742622026788968,0.7806121246665532,22.34141649106908,4.698423696459921,-1.4647686788527177,0.9285079800212493,FAIL_TO_REJECT,-0.006867668102587019,0.980661208771996,True,-1.4003601414270795e-18,1.0,SR,08_EGARCH11_t,2537,1.5,21.00362278239279
2537,42.00724556478558,42,42,15,1.0,20.351616506513846,20.351616506513846,30.153755735526058,11.850584862860561,-0.8271439209495789,0.7959222537404171,30.15375573552605,5.481168856190762,-1.78833009640655,0.9631386165199562,FAIL_TO_REJECT,-0.006867668102587019,0.980661208771996,True,-1.4003601414270795e-18,1.0,SR,08_EGARCH11_t,2537,2.0,21.00362278239279
2537,10.501811391196394,10,10,15,1.0,4.9329915728159,4.9329915728159,5.578559620209049,2.911330452691168,-0.22174330873240458,0.5877431431151572,5.578559620209049,2.037102777571292,-0.31690499590934657,0.6243421544564233,FAIL_TO_REJECT,-0.001471920624739017,1.0079910875234517,True,1.4003601414270797e-17,1.0,TA,05_GARCH11_ged,2537,0.5,21.00362278239279
2537,21.00362278239279,21,21,15,1.0,10.262382070980962,10.262382070980962,12.037768560613452,4.881774593880693,-0.3636764572985279,0.6419501871972529,12.037768560613449,3.0740817344603584,-0.5775339249215337,0.7182105859401862,FAIL_TO_REJECT,-0.001471920624739017,1.0079910875234517,True,1.4003601414270797e-17,1.0,TA,05_GARCH11_ged,2537,1.0,21.00362278239279
2537,31.505434173589183,31,31,15,1.0,17.11403260456315,17.11403260456315,18.50676918767523,6.813045293875597,-0.20442203493994698,0.5809881438281579,18.506769187675236,3.844088105152755,-0.3623061035581394,0.641438351200859,FAIL_TO_REJECT,-0.001471920624739017,1.0079910875234517,True,1.4003601414270797e-17,1.0,TA,05_GARCH11_ged,2537,1.5,21.00362278239279
