symbol,model_name,model_type,mean,lags,vol,p,o,q,power,dist,sample_start,sample_end,sample_size,reliability,fit_success,convergence_flag,convergence_ok,params_ok,param_check_reason,hl_moment_condition_ok,hl_moment_condition_reason,persistence_warning_flag,persistence_warning_reason,loglikelihood,aic,bic,nobs_model,params_json,fit_warnings,fit_warning_flag,model_usable,diag_n,lb_z_p_lag10,lb_z2_p_lag10,arch_lm_p_lag10,traditional_diag_pass,hl_hl_n,hl_bandwidth_p,hl_max_lag,hl_active_lag_count,hl_hl_weight_grid_size,hl_hl_weight_scale,hl_Q_gsd,hl_TQ_gsd,hl_C_robust,hl_D_robust,hl_M_robust,hl_pvalue,hl_C_iid,hl_D_iid,hl_M_iid,hl_pvalue_iid,hl_decision,hl_z_raw_mean,hl_z_raw_second_moment,hl_z_restandardized,hl_z_used_mean,hl_z_used_second_moment,hl_pvalue_adj_symbol,hl_decision_adj_symbol
SR,06_GARCH12_t,arch,Constant,,GARCH,1,0,2,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,False,ok,-2983.8347765195867,5979.6695530391735,6014.701978396769,2537,"{""mu"": -0.003275398827073746, ""omega"": 0.007097214373992565, ""alpha[1]"": 0.034450195673522664, ""beta[1]"": 0.08431810430793615, ""beta[2]"": 0.8722719978398699, ""nu"": 4.505105149615611}",,False,True,2537,0.30307132673812015,0.84578751722803,0.8429131232382681,True,2537,21.00362278239279,21,21,15,1.0,10.118698031697745,10.118698031697745,14.205624623781555,,,,14.205624623781551,3.6768624231185583,-1.1115255676652294,0.8668289044881088,VARIANCE_NOT_COMPUTED,-0.0033898188649854398,0.9847222377821373,True,1.4003601414270797e-17,1.0000000000000002,,VARIANCE_NOT_COMPUTED
SR,07_GARCH21_t,arch,Constant,,GARCH,2,0,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,False,ok,-2984.729722106974,5981.459444213948,6016.491869571543,2537,"{""mu"": -0.003630003947601538, ""omega"": 0.003750338305159734, ""alpha[1]"": 0.015171660997811342, ""alpha[2]"": 0.004089760159730533, ""beta[1]"": 0.9760898486639713, ""nu"": 4.48177449534196}",,False,True,2537,0.3400446737411297,0.8220779361266963,0.8265394953091305,True,2537,21.00362278239279,21,21,15,1.0,10.015766532068138,10.015766532068138,14.380703565809426,,,,14.380703565809421,3.722025994316415,-1.1727314748490747,0.879548247334848,VARIANCE_NOT_COMPUTED,-0.00286036224240342,0.9840633851059174,True,-2.800720282854159e-18,1.0,,VARIANCE_NOT_COMPUTED
SR,08_EGARCH11_t,arch,Constant,,EGARCH,1,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,False,ok,-2979.1014297330526,5970.202859466105,6005.235284823701,2537,"{""mu"": -0.00010322221281783475, ""omega"": 0.0008318830720254744, ""alpha[1]"": 0.05783955633982303, ""gamma[1]"": 0.01935637786052115, ""beta[1]"": 0.9899773220183467, ""nu"": 4.495132793775098}",,False,True,2537,0.3283192749389414,0.8614539660663634,0.8684378332728466,True,2537,21.00362278239279,21,21,15,1.0,10.607030905666303,10.607030905666303,14.532023299607907,,,,14.532023299607905,3.7572860119108054,-1.0446349789446847,0.851904146687787,VARIANCE_NOT_COMPUTED,-0.006867668102587019,0.980661208771996,True,-1.4003601414270795e-18,1.0,,VARIANCE_NOT_COMPUTED
SR,09_EGARCH11_skewt,arch,Constant,,EGARCH,1,1,1,2.0,skewt,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,False,ok,-2977.6907470115684,5969.381494023137,6010.252656940332,2537,"{""mu"": -0.01201217459367517, ""omega"": 0.0009073521751391916, ""alpha[1]"": 0.05772184630311253, ""gamma[1]"": 0.017466755149591007, ""beta[1]"": 0.9907523457533475, ""eta"": 4.467180175448673, ""lambda"": -0.04392405501563885}",,False,True,2537,0.32631658323174545,0.86413188307392,0.870470008179693,True,2537,21.00362278239279,21,21,15,1.0,10.625019034255018,10.625019034255018,14.529606461944367,,,,14.529606461944367,3.756723220903595,-1.039359888416317,0.8506813041699443,VARIANCE_NOT_COMPUTED,0.007507714132826446,0.9776049984990174,True,1.4003601414270795e-18,0.9999999999999998,,VARIANCE_NOT_COMPUTED
SR,10_EGARCH21_t,arch,Constant,,EGARCH,2,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,False,ok,-2978.2934016604413,5970.586803320883,6011.4579662380775,2537,"{""mu"": -0.0012563747102762861, ""omega"": 0.0008745146471753221, ""alpha[1]"": -0.006913619725155741, ""alpha[2]"": 0.06823395102010389, ""gamma[1]"": 0.020137906858648722, ""beta[1]"": 0.9894302711123625, ""nu"": 4.49043866160815}",,False,True,2537,0.3483811361430976,0.8773113676197859,0.8789249935860773,True,2537,21.00362278239279,21,21,15,1.0,9.772995372141587,9.772995372141587,14.307037770205964,,,,14.307037770205962,3.6975004154990616,-1.2262452707398557,0.889946805046083,VARIANCE_NOT_COMPUTED,-0.00535173337645428,0.9794369613253638,True,-4.901260494994779e-18,1.0,,VARIANCE_NOT_COMPUTED
SR,11_GJR11_t,arch,Constant,,GARCH,1,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0025,True,ok,False,ok,-2982.0032948941753,5976.0065897883505,6011.039015145946,2537,"{""mu"": -0.001325307725519409, ""omega"": 0.0054830996779638135, ""alpha[1]"": 0.028716301173580115, ""gamma[1]"": -0.018819944965388954, ""beta[1]"": 0.9738049314999686, ""nu"": 4.475401964138922}",,False,False,2537,0.3365620967723366,0.8553069184548738,0.8624791456468797,True,2537,21.00362278239279,21,21,15,1.0,9.866119843896833,9.866119843896833,14.524114663857361,,,,14.524114663857361,3.7562444054881574,-1.2400670236353217,0.8925246975792178,VARIANCE_NOT_COMPUTED,-0.005341254427287834,0.9833405396098337,True,-1.4003601414270795e-18,1.0000000000000002,,VARIANCE_NOT_COMPUTED
SR,12_GJR11_skewt,arch,Constant,,GARCH,1,1,1,2.0,skewt,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0024,True,ok,False,ok,-2980.4096950504218,5974.8193901008435,6015.690553018038,2537,"{""mu"": -0.014033548456901532, ""omega"": 0.005169261658501431, ""alpha[1]"": 0.028268273340962373, ""gamma[1]"": -0.017841129131729666, ""beta[1]"": 0.9741151397951701, ""eta"": 4.443610462561888, ""lambda"": -0.046571085279995934}",,False,False,2537,0.33237551288731226,0.859004242493564,0.8654887756250501,True,2537,21.00362278239279,21,21,15,1.0,9.896379297217981,9.896379297217981,14.524583072256032,,,,14.524583072256036,3.7564579678603987,-1.2320659021440308,0.8910377663138236,VARIANCE_NOT_COMPUTED,0.010029360387690003,0.9796431443882125,True,4.901260494994779e-18,1.0,,VARIANCE_NOT_COMPUTED
SR,13_GJR21_t,arch,Constant,,GARCH,2,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0026,True,ok,False,ok,-2981.92037286475,5977.8407457295,6018.711908646695,2537,"{""mu"": -0.0014107504537103, ""omega"": 0.005561822774363453, ""alpha[1]"": 0.021845834789636566, ""alpha[2]"": 0.007573131233916856, ""gamma[1]"": -0.0191839293882596, ""beta[1]"": 0.9732120180456725, ""nu"": 4.4747252569220155}",,False,False,2537,0.34440548805697596,0.8716181274258066,0.8772883487893617,True,2537,21.00362278239279,21,21,15,1.0,9.638860121184505,9.638860121184505,14.470796287760582,,,,14.47079628776058,3.7420380069664136,-1.2912579074773258,0.9016928693740451,VARIANCE_NOT_COMPUTED,-0.005228220107735377,0.9829174305250924,True,5.601440565708318e-18,1.0,,VARIANCE_NOT_COMPUTED
SR,14_TARCH11_t,arch,Constant,,GARCH,1,1,1,1.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,True,review_persistence_proxy_not_hard_filter:1.0087,-2980.200763702147,5972.401527404294,6007.4339527618895,2537,"{""mu"": -0.00015864504137214162, ""omega"": 0.008241891203886688, ""alpha[1]"": 0.040379157288675326, ""gamma[1]"": -0.020082570514524892, ""beta[1]"": 0.9683631929534126, ""nu"": 4.527091694539552}",,False,True,2537,0.30881636255051914,0.8665743863524152,0.8731663898311754,True,2537,21.00362278239279,21,21,15,1.0,10.673348671097056,10.673348671097056,14.556417721659937,,,,14.556417721659932,3.763492444196675,-1.031772777051961,0.8489107125128901,VARIANCE_NOT_COMPUTED,-0.006922992493508457,0.9851995083123785,True,-1.2603241272843717e-17,0.9999999999999998,,VARIANCE_NOT_COMPUTED
SR,15_TARCH11_skewt,arch,Constant,,GARCH,1,1,1,1.0,skewt,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,True,review_persistence_proxy_not_hard_filter:1.0084,-2978.7952707780296,5971.590541556059,6012.461704473254,2537,"{""mu"": -0.011876398593473302, ""omega"": 0.007627684774613909, ""alpha[1]"": 0.039321864325475554, ""gamma[1]"": -0.018056754295375156, ""beta[1]"": 0.9690321682861699, ""eta"": 4.4996892826122785, ""lambda"": -0.04369399813542685}",,False,True,2537,0.3074542663937227,0.8682562512179728,0.8740828766459298,True,2537,21.00362278239279,21,21,15,1.0,10.689104448509417,10.689104448509417,14.551363467159815,,,,14.55136346715981,3.7622386244569332,-1.026585340319262,0.8476921200726865,VARIANCE_NOT_COMPUTED,0.007247429919434082,0.9822563983353189,True,1.4003601414270797e-17,0.9999999999999998,,VARIANCE_NOT_COMPUTED
SR,16_APARCH11_t,arch,Constant,,APARCH,1,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,False,ok,-2979.219885175902,5972.439770351804,6013.310933268999,2537,"{""mu"": -0.0006242810682057532, ""omega"": 0.0072928821388615304, ""alpha[1]"": 0.028582717956222546, ""gamma[1]"": -0.3267660587588314, ""beta[1]"": 0.9703262538189773, ""delta"": 1.1060245556845305, ""nu"": 4.4949033835860455}",,False,True,2537,0.32989595369440733,0.8650091973821044,0.8716064995462207,True,2537,21.00362278239279,21,21,15,1.0,10.54640623072361,10.54640623072361,14.565045815256907,,,,14.565045815256907,3.766165139908036,-1.0670375395783696,0.8570225576403225,VARIANCE_NOT_COMPUTED,-0.006215676217377304,0.9810334393050133,True,-1.5403961555697874e-17,1.0000000000000002,,VARIANCE_NOT_COMPUTED
SR,17_APARCH11_skewt,arch,Constant,,APARCH,1,1,1,2.0,skewt,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,True,review_persistence_proxy_not_hard_filter:0.9994,-2977.773994659408,5971.547989318816,6018.25788979561,2537,"{""mu"": -0.0127892871003095, ""omega"": 0.006609801198190263, ""alpha[1]"": 0.028297116922181217, ""gamma[1]"": -0.2917820728322074, ""beta[1]"": 0.9711022003791585, ""delta"": 1.146409485507824, ""eta"": 4.466598631033463, ""lambda"": -0.04454564494295042}",,False,True,2537,0.3289831817976333,0.8643734061009543,0.8703471387880615,True,2537,21.00362278239279,21,21,15,1.0,10.525798647964093,10.525798647964093,14.553566336944924,,,,14.553566336944913,3.7634119896160287,-1.0702436246932834,0.8577451686553241,VARIANCE_NOT_COMPUTED,0.008470475534720046,0.9778836845248464,True,1.1202881131416636e-17,1.0000000000000002,,VARIANCE_NOT_COMPUTED
SR,18_AR1_GARCH11_t,arch,AR,1.0,GARCH,1,0,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,False,ok,-2981.7606230078563,5975.521246015713,6010.551305909055,2536,"{""Const"": -0.00302646795301406, ""ret_pct[1]"": -0.02934496607285961, ""omega"": 0.003940275837963228, ""alpha[1]"": 0.0189416061954727, ""beta[1]"": 0.9761563926589345, ""nu"": 4.454978415610997}",,False,True,2536,0.35576525012584576,0.8045888051882017,0.8051308187563584,True,2536,21.000862779367267,21,21,15,1.0,9.993966339613362,9.993966339613362,14.476556923985406,,,,14.476556923985402,3.7466370975639163,-1.1964304168361128,0.8842356812781589,VARIANCE_NOT_COMPUTED,-0.0031900011080354547,0.9834318775961364,True,0.0,1.0,,VARIANCE_NOT_COMPUTED
SR,19_AR1_EGARCH11_t,arch,AR,1.0,EGARCH,1,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,False,ok,-2976.1548211301733,5966.309642260347,6007.178045469246,2536,"{""Const"": -1.4569837163494283e-05, ""ret_pct[1]"": -0.027439426720343787, ""omega"": 0.0007381514443230106, ""alpha[1]"": 0.058111790759120395, ""gamma[1]"": 0.01930508676170099, ""beta[1]"": 0.9894456267111137, ""nu"": 4.4638069855504625}",,False,True,2536,0.34951463357983165,0.8547574464896662,0.8589660112466347,True,2536,21.000862779367267,21,21,15,1.0,10.42847736524205,10.42847736524205,14.603520090152779,,,,14.603520090152777,3.775105883112138,-1.1059405627767152,0.8656238767719342,VARIANCE_NOT_COMPUTED,-0.006798920042657154,0.9793298944169251,True,7.004561669559347e-18,1.0,,VARIANCE_NOT_COMPUTED
SR,20_AR1_GJR11_t,arch,AR,1.0,GARCH,1,1,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0021,True,ok,False,ok,-2979.001303256089,5972.002606512178,6012.871009721078,2536,"{""Const"": -0.0008962076581324555, ""ret_pct[1]"": -0.028658971725648547, ""omega"": 0.005798625542163913, ""alpha[1]"": 0.028733100647118544, ""gamma[1]"": -0.01877081055965201, ""beta[1]"": 0.9733771476741914, ""nu"": 4.442120122758092}",,False,False,2536,0.34398086156707536,0.8494871833580971,0.8529569106185423,True,2536,21.000862779367267,21,21,15,1.0,9.715280427256355,9.715280427256355,14.602782743485742,,,,14.60278274348574,3.7759810371570484,-1.2943662238063585,0.9022305241661246,VARIANCE_NOT_COMPUTED,-0.00566635082163223,0.9818789655325855,True,-9.806386337383087e-18,1.0,,VARIANCE_NOT_COMPUTED
TA,01_ARCH5_t,arch,Constant,,ARCH,5,0,0,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,False,fourth_moment_warning:t_nu=3.5704,False,ok,-4479.038465279975,8974.07693055995,9020.786831036745,2537,"{""mu"": 0.005189003111595304, ""omega"": 1.1598291543786552, ""alpha[1]"": 0.21661965772051883, ""alpha[2]"": 0.12448114350777195, ""alpha[3]"": 0.07271585932137725, ""alpha[4]"": 0.09776117531648773, ""alpha[5]"": 0.23992534080842928, ""nu"": 3.570389404142988}",,False,True,2537,0.959617810401598,0.043399165865925314,0.04969867791906487,False,2537,21.00362278239279,21,21,15,1.0,13.199083955766886,13.199083955766886,11.33792833531868,,,,11.337928335318681,2.8578867785620234,0.6512349034991042,0.2574474312390608,VARIANCE_NOT_COMPUTED,-0.001761076030566205,0.8862629620238976,True,-7.001800707135398e-18,1.0,,VARIANCE_NOT_COMPUTED
TA,02_GARCH11_normal,arch,Constant,,GARCH,1,0,1,2.0,normal,2016-01-06,2026-06-18,2537,HIGH,True,0,True,True,ok,True,ok,False,ok,-4544.278568020316,9096.557136040632,9119.91208627903,2537,"{""mu"": 0.0008770735188922277, ""omega"": 0.03133219531046297, ""alpha[1]"": 0.06689154901571918, ""beta[1]"": 0.9229455029453034}",,False,True,2537,0.8300445577829781,0.5716948185593492,0.5963674147642494,True,2537,21.00362278239279,21,21,15,1.0,9.581871951202244,9.581871951202244,11.774746044560809,,,,11.774746044560809,3.0040306880611696,-0.7299772609093641,0.7672979579520445,VARIANCE_NOT_COMPUTED,0.009413726729443964,1.0003752493524494,True,-3.220828325282283e-17,0.9999999999999998,,VARIANCE_NOT_COMPUTED
TA,03_GARCH11_t,arch,Constant,,GARCH,1,0,1,2.0,t,2016-01-06,2026-06-18,2537,HIGH,True,0,True,False,near_integrated_volatility:persistence=1.0000,True,ok,False,ok,-4427.178562220603,8864.357124441207,8893.550812239204,2537,"{""mu"": 0.010874218869270067, ""omega"": 0.018976424973503003, ""alpha[1]"": 0.06512470430630722, ""beta[1]"": 0.9348752956936929, ""nu"": 4.132109243881859}",,False,False,2537,0.7942411159394108,0.48016736509134383,0.5034278647081223,True,2537,21.00362278239279,21,21,15,1.0,10.536403524120754,10.536403524120754,12.189185572996761,,,,12.189185572996758,3.1143421557789304,-0.5307002141075361,0.7021867311776262,VARIANCE_NOT_COMPUTED,0.0023593513304977303,0.9448428489727725,True,-1.2603241272843717e-17,1.0000000000000002,,VARIANCE_NOT_COMPUTED
