hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,dd_label,c,lambda,candidate_p,status,symbol,best_model_name
2537,21.291260398122724,21,21,15,1.0,18.198166882835864,18.198166882835864,14.467683047786588,6.267643649373398,0.5951971815472035,0.2758558370263485,14.467683047786581,3.621038361038657,1.0302248866480477,0.1514522249099668,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,3.0,0.25,21.291260398122724,ok,AG,08_EGARCH11_t
2537,31.507750290851877,31,31,15,1.0,25.087270426225302,25.087270426225302,21.921772836947593,8.379389437499876,0.37777186666027374,0.3528000374209994,21.921772836947596,4.493712373517002,0.704428171222768,0.24058308364981262,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,3.0,0.3,31.507750290851877,ok,AG,08_EGARCH11_t
2537,46.626564601042006,46,46,15,1.0,35.52767006948184,35.52767006948184,32.95703949899464,11.220770202663138,0.22909573265096278,0.40939725506196223,32.95703949899465,5.539601830246357,0.4640460901813363,0.3213073622137811,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,3.0,0.35,46.626564601042006,ok,AG,08_EGARCH11_t
2537,69.00005574585138,69,69,15,1.0,51.76720876210751,51.76720876210751,49.290514434781024,15.610261091878874,0.15865809756474647,0.4369691266067073,49.29051443478103,6.798960709555342,0.36427542872040736,0.35782617314237,FAIL_TO_REJECT,0.012189385425753433,0.8358097084562046,True,-1.2603241272843717e-17,1.0,AG:08_EGARCH11_t,3.0,0.4,69.00005574585138,ok,AG,08_EGARCH11_t
2537,5.322815099530681,5,5,15,1.0,2.110499557789051,2.110499557789051,2.0741927732053558,1.1294295824831058,0.0321461250411671,0.48717775996823165,2.0741927732053558,1.0905713390196747,0.0332915264546853,0.4867210554627447,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,0.75,0.25,5.322815099530681,ok,AL,05_GARCH11_ged
2537,7.876937572712969,7,7,15,1.0,3.8036048835335072,3.8036048835335072,3.4121870743382368,1.595232501518353,0.24536724823667797,0.40308604305702356,3.412187074338236,1.4560644844144168,0.2688190072520636,0.3940344829457234,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,0.75,0.3,7.876937572712969,ok,AL,05_GARCH11_ged
2537,11.656641150260501,11,11,15,1.0,6.319545505108442,6.319545505108442,5.403389635977184,2.1912280299240714,0.41810156525015074,0.3379364303050755,5.403389635977184,1.878345852685751,0.4877461026792769,0.31286484601718734,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,0.75,0.35,11.656641150260501,ok,AL,05_GARCH11_ged
2537,17.250013936462846,17,17,15,1.0,9.605380442903117,9.605380442903117,8.358916053214916,3.00256049680651,0.41513381362804413,0.33902197366094966,8.358916053214916,2.373334312349034,0.5251954531658455,0.2997236627051765,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,0.75,0.4,17.250013936462846,ok,AL,05_GARCH11_ged
2537,7.0970867993742415,7,7,15,1.0,3.2580513972629275,3.2580513972629275,3.0020336870782147,1.459872328005976,0.17536993151613786,0.43039448280245385,3.0020336870782156,1.3538944658633048,0.18909724253984841,0.4250083013168051,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,1.0,0.25,7.0970867993742415,ok,AL,05_GARCH11_ged
2537,10.50258343028396,10,10,15,1.0,5.597319634830406,5.597319634830406,4.794384424342376,2.0169162230001807,0.3981004274404894,0.3452780796604803,4.794384424342376,1.7596268449310013,0.45630993457565383,0.3240835605090142,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,1.0,0.3,10.50258343028396,ok,AL,05_GARCH11_ged
2537,15.542188200347336,15,15,15,1.0,8.605246651399431,8.605246651399431,7.455980994203464,2.758488461796867,0.4166287708331907,0.3384749808688087,7.455980994203465,2.2335620941727434,0.5145438580795877,0.3034359026084895,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,1.0,0.35,15.542188200347336,ok,AL,05_GARCH11_ged
2537,23.00001858195046,23,23,15,1.0,12.720647881385698,12.720647881385698,11.401252826765722,3.792965736269136,0.3478531435187097,0.3639752381108555,11.401252826765722,2.793756930403065,0.4722655146772638,0.3183686409716465,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,1.0,0.4,23.00001858195046,ok,AL,05_GARCH11_ged
2537,10.645630199061362,10,10,15,1.0,5.689238932658068,5.689238932658068,4.869977885491787,2.0387861230579607,0.401837661096828,0.3439017517290026,4.869977885491787,1.7747536143690015,0.46161959639539146,0.322177069551419,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,1.5,0.25,10.645630199061362,ok,AL,05_GARCH11_ged
2537,15.753875145425939,15,15,15,1.0,8.7303783394538,8.7303783394538,7.567971734355604,2.788972194494737,0.41678673146785644,0.3384172042228252,7.567971734355606,2.2513476700459707,0.5163159029429066,0.30281689544914736,FAIL_TO_REJECT,0.0015397833098772186,1.0108106632988003,True,7.001800707135398e-18,1.0,AL:05_GARCH11_ged,1.5,0.3,15.753875145425939,ok,AL,05_GARCH11_ged
