ma_window,version,vol_bucket,return_col,n_obs,mean_daily,ann_return,ann_vol,sharpe,t_stat,win_rate,max_drawdown
20,long_short,Low,gross_map_vs_passive,2476,-0.00017129113261211314,-0.04316536541825251,0.12562236212137734,-0.34361211403225955,-1.0770689751027192,0.4454765751211632,-0.5278707042588757
20,long_short,Mid,gross_map_vs_passive,2476,-0.0002220979208093581,-0.05596867604395824,0.17189253761467718,-0.3256027098129204,-1.0206176168630237,0.44789983844911146,-0.5630011485396271
60,long_flat,High,gross_map_vs_passive,2476,-0.00012424466427795003,-0.03130965539804341,0.14246285129627642,-0.21977417349965503,-0.6888928944545222,0.4277059773828756,-0.4734243135410141
60,long_flat,Low,gross_map_vs_passive,2476,-5.583488180556421e-05,-0.014070390215002181,0.059726336963191226,-0.23558100044999628,-0.7384401665318732,0.44709208400646205,-0.21324992525303632
60,long_flat,Mid,gross_map_vs_passive,2476,-9.458143127998034e-05,-0.023834520682555045,0.08346837196468686,-0.28555152234955256,-0.8950752111352485,0.43295638126009695,-0.2970266864815283
60,long_short,High,gross_map_vs_passive,2476,-0.00024848932855590006,-0.06261931079608682,0.28492570259255284,-0.21977417349965503,-0.6888928944545222,0.4277059773828756,-0.7502551818648701
60,long_short,Low,gross_map_vs_passive,2476,-0.00011166976361112842,-0.028140780430004363,0.11945267392638245,-0.23558100044999628,-0.7384401665318732,0.44709208400646205,-0.39192610185851806
60,long_short,Mid,gross_map_vs_passive,2476,-0.00018916286255996067,-0.04766904136511009,0.16693674392937372,-0.28555152234955256,-0.8950752111352485,0.43295638126009695,-0.5169916388614988
120,long_flat,High,gross_map_vs_passive,2417,-0.0003089636231785375,-0.07785883304099145,0.1412557626133672,-0.551190490218086,-1.7070245647299667,0.41249482829954487,-0.5895757509895536
120,long_flat,Low,gross_map_vs_passive,2417,-3.822033949693747e-05,-0.009631525553228243,0.05962808477902695,-0.16152666296295248,-0.5002444462122734,0.4555233760860571,-0.20986285125223159
120,long_flat,Mid,gross_map_vs_passive,2417,-0.00019781078132411067,-0.04984831689367589,0.08296379915415485,-0.6008441923091401,-1.8608009645471633,0.4207695490277203,-0.40885247623332543
120,long_short,High,gross_map_vs_passive,2417,-0.000617927246357075,-0.1557176660819829,0.2825115252267344,-0.551190490218086,-1.7070245647299667,0.41249482829954487,-0.8594954030655518
120,long_short,Low,gross_map_vs_passive,2417,-7.644067899387494e-05,-0.019263051106456486,0.1192561695580539,-0.16152666296295248,-0.5002444462122734,0.4555233760860571,-0.38600282341969805
120,long_short,Mid,gross_map_vs_passive,2417,-0.00039562156264822133,-0.09969663378735177,0.1659275983083097,-0.6008441923091401,-1.8608009645471633,0.4207695490277203,-0.6729245303264022
10,long_flat,High,gross_strategy_return,2476,0.0002470158786730204,0.06224800142560114,0.15896151967209055,0.39159163522095,1.2274631306119463,0.48222940226171246,-0.27718143342350476
10,long_flat,Low,gross_strategy_return,2476,0.0002239847492182144,0.056444156802990024,0.06290944745758915,0.8972286212025984,2.812406990344879,0.5149434571890146,-0.08518644853318413
10,long_flat,Mid,gross_strategy_return,2476,0.0001820903512062774,0.045886768503981906,0.09186003401410826,0.49952919130134893,1.5657986786179547,0.49192245557350567,-0.18134933364731043
10,long_short,High,gross_strategy_return,2476,0.0001052519456824053,0.026523490311966134,0.18828907188416197,0.14086579771492927,0.4415507316997607,0.5165589660743134,-0.3287717102937364
10,long_short,Low,gross_strategy_return,2476,0.00019131810517282498,0.0482121625035519,0.0774972820553703,0.622114237104538,1.9500474994664683,0.5096930533117933,-0.1421510372876329
10,long_short,Mid,gross_strategy_return,2476,4.9186673725785996e-05,0.01239504177889807,0.10937740086058369,0.11332360872880157,0.3552183934266436,0.5048465266558966,-0.3264084529029063
20,long_flat,High,gross_strategy_return,2476,0.0003403103486454231,0.08575820785864663,0.1601368989244353,0.53553058935601,1.6786468213972234,0.4866720516962843,-0.19554870370594268
20,long_flat,Low,gross_strategy_return,2476,0.0001710058269575472,0.043093468393301894,0.06488199643357576,0.6641822194454158,2.0819116473651498,0.5109046849757674,-0.1308582946497442
20,long_flat,Mid,gross_strategy_return,2476,0.00020394506828208975,0.051394157207086615,0.09369764792068849,0.5485106440514902,1.7193334376040248,0.4850565428109855,-0.17987613913225675
20,long_short,High,gross_strategy_return,2476,0.0002918408856272109,0.07354390317805715,0.19315699635817488,0.3807467736849833,1.1934693817810251,0.5218093699515347,-0.40168546591334564
