ma_window,version,vol_bucket,return_col,n_obs,mean_daily,ann_return,ann_vol,sharpe,t_stat,win_rate,max_drawdown
20,long_short,Mid,passive_return,2476,0.00031499402868676886,0.07937849522906576,0.13957347497617328,0.5687219240089604,1.782686683023256,0.518578352180937,-0.3364073106314145
60,long_flat,High,passive_return,2476,0.00038877981166363546,0.09797251253923614,0.23470454182605263,0.41742912930865583,1.308452019361239,0.5197899838449112,-0.4348571032642128
60,long_flat,Low,passive_return,2476,0.0002566513932636038,0.06467615110242816,0.09997647179698944,0.6469137181972022,2.027782685720837,0.5379644588045234,-0.21763470302060983
60,long_flat,Mid,passive_return,2476,0.00031499402868676886,0.07937849522906576,0.13957347497617328,0.5687219240089604,1.782686683023256,0.518578352180937,-0.3364073106314145
60,long_short,High,passive_return,2476,0.00038877981166363546,0.09797251253923614,0.23470454182605263,0.41742912930865583,1.308452019361239,0.5197899838449112,-0.4348571032642128
60,long_short,Low,passive_return,2476,0.0002566513932636038,0.06467615110242816,0.09997647179698944,0.6469137181972022,2.027782685720837,0.5379644588045234,-0.21763470302060983
60,long_short,Mid,passive_return,2476,0.00031499402868676886,0.07937849522906576,0.13957347497617328,0.5687219240089604,1.782686683023256,0.518578352180937,-0.3364073106314145
120,long_flat,High,passive_return,2417,0.00036198208392243503,0.09121948514845363,0.23171488263355758,0.39367123989489905,1.2191909854293892,0.5196524617294166,-0.41039707048606566
120,long_flat,Low,passive_return,2417,0.00022906024891620395,0.0577231827268834,0.09949969149535966,0.5801342884522955,1.796662857587368,0.5362019031857674,-0.22167396858660138
120,long_flat,Mid,passive_return,2417,0.0002867055432885153,0.07224979690870585,0.1389613156442594,0.5199274098243654,1.6102035071313614,0.5167563094745552,-0.33700753573226316
120,long_short,High,passive_return,2417,0.00036198208392243503,0.09121948514845363,0.23171488263355758,0.39367123989489905,1.2191909854293892,0.5196524617294166,-0.41039707048606566
120,long_short,Low,passive_return,2417,0.00022906024891620395,0.0577231827268834,0.09949969149535966,0.5801342884522955,1.796662857587368,0.5362019031857674,-0.22167396858660138
120,long_short,Mid,passive_return,2417,0.0002867055432885153,0.07224979690870585,0.1389613156442594,0.5199274098243654,1.6102035071313614,0.5167563094745552,-0.33700753573226316
